,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-26 14:35:17.000000000,2020,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,16-30
1,U001,0200744019,TARG us,2020-04-08 22:23:51.031250000,2020,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,0-15
2,U001,0200418007,AM ,2020-03-23 07:34:15.859375000,2020,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,
3,U001,0200739534,OK systems,2020-05-05 07:45:51.906250000,2020,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,0-15
4,U001,0200353024,DECA corporation,2020-04-22 16:59:43.281250000,2020,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,
5,U001,0200744019,TARG associates,2020-04-10 19:53:30.531250000,2020,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,0-15
6,CA02,0140106408,WAL-M corp,2020-04-11 06:07:15.750000000,2020,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,16-30
7,U001,0200337148,COAS llc,2020-03-18 06:13:00.062500000,2020,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,0-15
8,U001,0200794332,COST associates,2020-04-22 23:17:31.164062500,2020,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,0-15
9,U001,0200794332,COST llc,2020-05-07 17:40:23.400390625,2020,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,
